,link,data,pag,materia_id,jornal,tipo,resumo,ano,mes
775,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MzE=&i=MjEzNjA4Nw==&s=ZjNlZWFmMmE0Njg1ZjQwYmVmODM2ZDI0ZDMyNGFhMGM=&tb=cedae,02/10/2018,31,2136087,12,I - Aviso,"acima citado ou no site www.cedae.com.br/licitacao, podendo, alternativamente, ser retirado mediante permuta de duas resmas de papel tamanho A4 - 75g/m²",2018,10
776,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMg==&j=MTI=&p=MzE=&i=MjEzNjA4OA==&s=Yjc0YmYzMDg1YWYwNWI0MWQyMjg2ZTRjNzEzMmY1N2E=&tb=cedae,02/10/2018,31,2136088,12,I - Aviso,"dos interessados no Portal de Compras Caixa, no endereço eletrônico acima citado ou no site www.cedae.com.br/licitacao, podendo, alternativamente, ser retirado",2018,10
777,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMC0wMQ==&j=MTI=&p=MjE=&i=MjEzNTkxNg==&s=MTFjMTRhNWZhMjgyNGNhYTZhZDljMWNjY2EwMjc2MTQ=&tb=cedae,01/10/2018,21,2135916,12,I - Aviso,OPERACIO NAL/INVESTIMENTOS DA CEDAE EM ESGOTAMENTO SANITÁRIO NA BACIA DE JACAREPAGUÁ A PARTIR DE 2018. O OBJETIVO É SELECIONAR AÇÕES PARA ANÁLISE,2018,10
778,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0zMA==&j=MTI=&p=Ng==&i=MjE0ODYyOA==&s=MWI5NWIzZDY4NWRiNzMyYTVhODkzMTE1YjY1ZGQ2NmE=&tb=cedae,30/11/2018,6,2148628,12,I - Ato,"Ferreira - CEDAE - Mat. nº 19.642-0

 Raphael Goulart de Alcântara - SEOBRAS - Mat. nº 19.581-5

  ACEITAÇÃO  DEFINITIVA 

   A COMISSÃO , abaixo assinada",2018,11
779,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0zMA==&j=MTI=&p=Mjg=&i=MjE0ODg3NA==&s=Y2ZlZmY0NGQyNDg0YWJhNDhjY2RkZTJjYTQ4NzUxOTA=&tb=cedae,30/11/2018,28,2148874,12,I - Aviso,"COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS 

  AVISO 

  CONTRATO CEDAE nº 068/2018 (DM) 

  PARTES : Companhia Estadual de Águas e Esgotos - CEDAE",2018,11
780,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0yOQ==&j=MTI=&p=Mg==&i=MjE0ODM3NQ==&s=YzljZTFkYjU2MTczMWQwMzQ1OTAzNTM0YjNkODE1YjM=&tb=cedae,29/11/2018,2,2148375,12,I - Despacho,"/2003 - CASA PRÓPRIA - CO OPERATIVA HABITACIONAL - DR. LEANDRO BASTOS DA SILVA - OAB/RJ 123.700.

  PROCESSO Nº E- 06/41.493/2004 - CEDAE - DRA. CRISTINA",2018,11
781,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0yOQ==&j=MTI=&p=Mjc=&i=MjE0ODMxOA==&s=MDAzZDEwOWYwN2YzOWM0N2Q5MTljNmE4ODY5ZGQ2ZDU=&tb=cedae,29/11/2018,27,2148318,12,I - Extrato de Termo Aditivo,"da Secretaria de Estado de Obras e Habitação, com Interveniência da CEDAE e a empresa  CHISON EMPREENDIMENTOS IMOBILIÁRIOS LTDA .

  OBJETO: Suspensão do prazo",2018,11
782,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0yOQ==&j=MTI=&p=Mzg=&i=MjE0ODI5Mw==&s=ZDBhMWRkYzkzNDNlY2ZmY2MyNTlmOTQwNzlmZDYzYzc=&tb=cedae,29/11/2018,38,2148293,12,I - Extrato de Instrumento Contratual,"SECRETARIA DE ESTADO DO AMBIENTE

  COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS

  EXTRATO DE INSTRUMENTO CONTRATUAL

  INSTRUMENTO: CONTRATO CEDAE Nº",2018,11
783,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0yOQ==&j=MTI=&p=Mzg=&i=MjE0ODI5NA==&s=MDNhY2JiZjUyMzQ5NjhkNThhMDRlYTgxYWNhYTNmZWM=&tb=cedae,29/11/2018,38,2148294,12,I - Extrato de Instrumento Contratual,"SECRETARIA DE ESTADO DO AMBIENTE

  COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS

  EXTRATO DE INSTRUMENTO CONTRATUAL

  INSTRUMENTO: CONTRATO CEDAE Nº",2018,11
784,http://www.ioerj.com.br/portal/modules/conteudoonline/view_publicacao.php?d=MjAxOC0xMS0yOQ==&j=MTI=&p=Mzg=&i=MjE0ODI5NQ==&s=ZTA0MDY3NmVhZDI0NDdkNTU0MTQ3YzVmNGI2MDAzOGQ=&tb=cedae,29/11/2018,38,2148295,12,I - Extrato de Termo Aditivo,"CEDAE nº 022/2018 (DG).

  PARTES: A COMPANHIA ESTADUAL DE ÁGUAS E ESGOTOS - CE DAE e a ELETRIC CONSULTORIA E SERVIÇOS SOCIEDADE SIM PLES - EPP.

  OBJETO",2018,11
